ï»¿,created at,from user,text
22,2023-04-02 09:03:27+00:00,jokomarkono,"Perlakuan Israel yang melanggar aturan, namun tidak pernah diberi sanksi oleh FIFA ðŸ¤”

#FIFA #pialaduniau20 #PialaDuniaU20Indonesia #sepakbola #Palestina #PSSI https://t.co/nQKMZs7kDT"
23,2023-04-02 09:03:21+00:00,jokomarkono,"Argumen yang VALID!!

#FIFA #pialaduniau20 #PialaDuniaU20Indonesia #sepakbola #Palestina #PSSI https://t.co/Guq8IQ5Ix7"
24,2023-04-02 09:03:14+00:00,jokomarkono,"FIFA standar ganda kepada Israel...

#FIFA #pialaduniau20 #PialaDuniaU20Indonesia #sepakbola #Palestina #PSSI https://t.co/r9mJfn9uTw"
25,2023-04-02 09:03:07+00:00,jokomarkono,"Ini bukan isu agama, ini isu kemanusiaan 

#FIFA #pialaduniau20 #PialaDuniaU20Indonesia #sepakbola #Palestina #PSSI https://t.co/aIPhLATEgh"
26,2023-04-02 09:02:17+00:00,jejemiann,"Mereka yang menolak Israel mempunyai argumen yang VALID 

#FIFA #pialaduniau20 #PialaDuniaU20Indonesia #sepakbola #Palestina #PSSI https://t.co/bdpwPaT5g1"
27,2023-04-02 09:01:46+00:00,jejemiann,"Perlakuan Israel yang melanggar aturan, namun tidak pernah diberi sanksi oleh FIFA ðŸ¤”

#FIFA #pialaduniau20 #PialaDuniaU20Indonesia #sepakbola #Palestina #PSSI https://t.co/BxVzF0w5rf"
28,2023-04-02 09:01:26+00:00,usmaratun,"FIFA standar ganda kepada Israel...

#FIFA #pialaduniau20 #PialaDuniaU20Indonesia #sepakbola #Palestina #PSSI https://t.co/yIPucsqhxA"
29,2023-04-02 09:01:17+00:00,usmaratun,"Ini bukan isu agama, ini isu kemanusiaan 

#FIFA #pialaduniau20 #PialaDuniaU20Indonesia #sepakbola #Palestina #PSSI https://t.co/VAUYVmRaFY"
30,2023-04-02 09:00:40+00:00,usmaratun,"Partai politik, wajar mempunyai sikap politik.

#FIFA #pialaduniau20 #PialaDuniaU20Indonesia #sepakbola #Palestina #PSSI https://t.co/UICWaP254z"
31,2023-04-02 08:55:52+00:00,RoketIndo,"Indonesia Bangkit, Indonesia Tumbuh ..

Ini laah kehebatan bangsa kita , kebersatuan harus terjadi dan optimisme harus di selalu ada ..

Maju Terus Indonesiaku...

#RoemahKemenanganET #KerjaSatsET #SepakbolaIndonesia #BUMN #ErickThohir #PSSI #KinerjaKerjaErickThohir https://t.co/MJwO1FQ5k7"
32,2023-04-02 08:51:18+00:00,fajaronline,"Timnas Indonesia U-20 Resmi Dibubarkan, Ini Pesan Terakhir Shin Tae Yong kepada Seluruh Pemain https://t.co/vhHQVl0bnw #PialaDuniaU-20 #PSSI #ShinTaeYong #TimnasU-20"
33,2023-04-02 08:31:25+00:00,Wigobet2,"Berikut result pasaran China ( CN ) Hari ini adalah
Result  :  2402
Shio     :   Harimau
Kami ucapkan selamat kepada para pemenang yang beruntung  

#wigobet #TogelChina #PSSI"
34,2023-04-02 07:54:50+00:00,kecambah_kacang,"Timnas Sepakbola Putri Indonesia bersiap hadapi laga di Kualifikasi #olipiadeparis2024 
https://t.co/PWpXqb3Y3p
#AustralianGP #timnasday #TimnasU20 #timnasindonesia #JoshuaFranklin #BBTitans #SUGA_AgustD_TOUR #PSSI"
35,2023-04-02 07:17:54+00:00,IkramMalvin,"#PialaDuniaU20
#StandarGanda
#FIFA
#PSSI
#U20
#SepakBolaIndonesia
#TimnasIndonesia
#KecamFIFA https://t.co/o3rBLP3OzS"
36,2023-04-02 06:18:10+00:00,FatihChabanto,"Wani?
#PialaDuniaU20 #erickthohir #PSSI https://t.co/w5LTkhDuMV"
37,2023-04-02 06:06:42+00:00,Clanuchiha93,"Peraturan Menteri Melarang Kehadiran Israel di Indonesia.

Terkendala konstitusi

Dalam Peraturan Menlu No. 3 Tahun 2019 pasal 150 dan 151 disebutkan dgn jelas, Indonesia menentang penjajahan Israel atas Palestina.

ini fakta yg diabaikan oleh PSSI

#FIFA23 #FIFA #PSSI #U20 https://t.co/IdpCvZflSR"
38,2023-04-02 06:06:39+00:00,Clanuchiha93,"U-20 Itu Spekulasi Erick Saja

jika memang kondisinya tidak memungkinkan, mestinya terus terang dan menyatakan Indonesia belum mampu.

Tapi drama perjuangan justru yang dijadikan jargon media sosial Erick.

#FIFA23 #FIFA #PSSI #U20 https://t.co/cAO3KplIWw"
39,2023-04-02 06:06:37+00:00,Clanuchiha93,"PSSI King Drama

Jika sanggup, maka tidak ada persoalan dari FIFA yang penting stadion dan sarana penunjangnya tersedia. Indonesia juga harus menjamin keamanan para peserta dan penonton.

di sindir tuh sama Pelatih Timnas Jepang PSSI ""kebanyakan drama"" #FIFA23 #FIFA #PSSI #U20 https://t.co/yYjdxpAFnx"
40,2023-04-02 06:06:32+00:00,Clanuchiha93,"Infrastruktur yang tidak memadai dr beberapa stadion yg disiapkan, hanya 4 yg dinyatakan layak. berkaca pd kerusuhan Kanjuruhan faktor keamanan menjadi isu utama, di tambah lagi amarah sebagian kelompok orang yg menolak. 
#FIFA #PSSI #FIFA23 #U20 https://t.co/2ZELfMS4w3"
41,2023-04-02 06:06:29+00:00,Clanuchiha93,"DRAMA PSSI SOAL PIALA DUNIA U-20 

Sebenarnya tidak sanggup sejak awal tapi masih saja ada lobi-lobi terutama PSSI, ini malah terkesan ditutup-tutupi. 

Dasarnya ðŸ‘‡

#FIFA23 #FIFA #PSSI #U20 https://t.co/N3jCa03bNr"
42,2023-04-02 05:55:33+00:00,wansebats,"Moh Salah mendukung tindakan Indonesia

#PialaDuniaU20 #StandarGanda #FIFA #PSSI #U20 #SepakBolaIndonesia #TimnasIndonesia #KecamFIFA https://t.co/YiyJAJLgGc"
43,2023-04-02 05:55:10+00:00,wansebats,"No Drama, kita masih menjadi terhormat

#PialaDuniaU20 #StandarGanda #FIFA #PSSI #U20 #SepakBolaIndonesia #TimnasIndonesia #KecamFIFA https://t.co/TEFpaGtHc8"
44,2023-04-02 05:52:57+00:00,GianoJuan,"Pesepakbola Senior saja dukung Indonesia

#PialaDuniaU20 #StandarGanda #FIFA #PSSI #U20 #SepakBolaIndonesia #TimnasIndonesia #KecamFIFA https://t.co/6G1dSSwtCI"
